epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6115,2.10526,21.7799,2.46991,0.51273,0.06869,0.07416,0.03419,2.36263,44.0658,2.72228,0.00021,0.00021,0.00021
2,54.054,1.71145,3.36674,2.04534,0.24387,0.12224,0.0784,0.0357,2.38328,3.41585,3.10977,0.000427162,0.000427162,0.000427162
3,66.4619,1.68056,2.65483,2.04144,0.71244,0.09781,0.04952,0.01681,2.7272,8.70264,3.60519,0.00064142,0.00064142,0.00064142
4,78.6163,1.65195,2.44386,1.99941,0.75029,0.05885,0.06431,0.02531,2.6477,9.07629,3.63709,0.000852774,0.000852774,0.000852774
5,90.6956,1.73427,2.54947,2.12088,0.73748,0.06731,0.03824,0.01459,3.02374,6.2475,3.24349,0.0009736,0.0009736,0.0009736
6,102.907,1.74475,2.56333,2.12395,0.43379,0.09273,0.03824,0.01595,2.80503,8.44906,3.43289,0.000967,0.000967,0.000967
7,115.04,1.6863,2.43223,2.06493,0.58659,0.09421,0.04593,0.01967,2.78618,5.52814,3.0977,0.0009604,0.0009604,0.0009604
8,127.062,1.68894,2.35937,2.0691,0.52371,0.14943,0.08968,0.03945,2.39085,4.93749,2.75917,0.0009538,0.0009538,0.0009538
9,139.453,1.63414,2.26978,2.01169,0.57087,0.16102,0.14513,0.06853,2.37813,3.69844,2.89244,0.0009472,0.0009472,0.0009472
10,151.712,1.6414,2.2311,2.0214,0.40921,0.22713,0.14627,0.06357,2.34288,3.56138,2.69142,0.0009406,0.0009406,0.0009406
11,163.806,1.6163,2.19213,1.98777,0.17142,0.23747,0.12164,0.05465,2.26225,3.84418,2.71513,0.000934,0.000934,0.000934
12,175.863,1.52593,2.10459,1.92595,0.27758,0.26805,0.21993,0.09751,2.13626,2.78152,2.39021,0.0009274,0.0009274,0.0009274
13,188.255,1.53829,2.09691,1.93952,0.14713,0.23609,0.1467,0.06626,2.4819,3.092,2.84572,0.0009208,0.0009208,0.0009208
14,200.165,1.52685,2.07107,1.93048,0.36358,0.16023,0.14868,0.06833,2.35469,3.11738,2.6545,0.0009142,0.0009142,0.0009142
15,212.095,1.47348,2.01633,1.89166,0.34579,0.29898,0.2267,0.09363,2.11745,3.06546,2.40202,0.0009076,0.0009076,0.0009076
16,224.057,1.39876,1.90037,1.84843,0.31603,0.31727,0.2456,0.1115,2.13985,2.56144,2.42289,0.000901,0.000901,0.000901
17,236.355,1.44662,1.98024,1.86976,0.26904,0.33616,0.25566,0.11268,1.96048,2.52875,2.26866,0.0008944,0.0008944,0.0008944
18,248.52,1.45656,1.91019,1.86964,0.53364,0.26231,0.2621,0.12564,2.06663,2.44429,2.29881,0.0008878,0.0008878,0.0008878
19,260.783,1.4161,1.83711,1.81306,0.35808,0.27613,0.25473,0.11539,2.11005,2.68822,2.38089,0.0008812,0.0008812,0.0008812
20,272.707,1.3884,1.78697,1.80698,0.49401,0.29093,0.31879,0.14837,2.01527,2.35933,2.27059,0.0008746,0.0008746,0.0008746
21,284.956,1.38003,1.74997,1.76913,0.29377,0.37796,0.32389,0.14734,2.0122,2.14795,2.29422,0.000868,0.000868,0.000868
